licence,lon,lat,spd,buffer,azm,route,timestamp,last_move_time
10-1147,98.306661,8.10814,0.0,Phuket Airport,37.1,The bus is heading from Rawai to Phuket Airport,2025-12-09 17:36:30.221024,2025-12-09 14:34:36.268899
10-1148,98.290413,7.876676,41.0,Rawai,174.8,The bus is heading from Phuket Airport to Rawai,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1149,98.30816,8.108306,0.0,-,117.3,-,2025-12-09 17:36:30.221024,2025-12-09 17:31:57.316845
10-1150,98.293865,7.85079,25.0,Phuket Airport,67.4,The bus is heading from Rawai to Phuket Airport,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1151,98.322403,8.016831,0.0,,263.1,The bus's movement is ambiguous or it is not moving significantly towards destination.,2025-12-09 17:36:30.221024,2025-12-09 17:30:56.727566
10-1152,98.351495,7.867273,0.0,-,254.6,-,2025-12-09 17:36:30.221024,2025-12-09 17:32:58.050664
10-1153,98.310011,7.796021,28.0,,116.4,The bus's movement is ambiguous or it is not moving significantly towards destination.,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1155,98.362113,7.892621,0.0,-,227.3,-,2025-12-09 17:36:30.221024,2025-12-09 14:34:36.268899
10-1159,98.362325,7.89267,0.0,-,0.0,-,2025-12-09 17:36:30.221024,2025-12-09 16:42:38.416914
10-1196,98.278908,7.922788,39.0,Rawai,54.3,The bus is heading from Phuket Airport to Rawai,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1204,98.325613,8.020665,60.0,Phuket Airport,52.7,The bus is heading from Rawai to Phuket Airport,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1205,98.29445,7.912593,5.0,Rawai,152.6,The bus is heading from Phuket Airport to Rawai,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1207,98.328868,8.026136,0.0,Phuket Airport,67.4,The bus is heading from Rawai to Phuket Airport,2025-12-09 17:36:30.221024,2025-12-09 17:32:58.050664
10-1208,98.30471,7.989386,0.0,,84.5,The bus's movement is ambiguous or it is not moving significantly towards destination.,2025-12-09 17:36:30.221024,2025-12-09 17:34:59.262555
10-1209,98.362396,7.892685,0.0,-,132.4,-,2025-12-09 17:36:30.221024,2025-12-09 14:34:36.268899
10-1210,98.30772,8.10617,6.0,Rawai,184.2,The bus is heading from Phuket Airport to Rawai,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1212,98.30672,8.090451,0.0,-,356.3,-,2025-12-09 17:36:30.221024,2025-12-09 14:34:36.268899
10-1218,98.365446,7.90524,0.0,Phuket Bus Terminal 1,151.2,The bus is heading from Patong to Phuket Bus Terminal 1,2025-12-09 17:36:30.221024,2025-12-09 17:36:00.256463
10-1219,98.394328,7.917308,40.0,Phuket Bus Terminal 1,22.2,The bus is heading from Patong to Phuket Bus Terminal 1,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1220,98.395848,7.884181,0.0,Patong,215.5,The bus is heading from Phuket Bus Terminal 1 to Patong,2025-12-09 17:36:30.221024,2025-12-09 17:36:00.256463
10-1221,98.331346,7.908718,42.0,Patong,227.3,The bus is heading from Phuket Bus Terminal 1 to Patong,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
10-1222,98.349746,7.908158,0.0,Patong,300.8,The bus is heading from Phuket Bus Terminal 1 to Patong,2025-12-09 17:36:30.221024,2025-12-09 17:32:58.050664
10-1223,98.36205,7.893148,0.0,-,47.3,-,2025-12-09 17:36:30.221024,2025-12-09 14:34:36.268899
10-1264,98.39482,7.886031,0.0,Dragon Line,304.3,The bus is Dragon Line,2025-12-09 17:36:30.221024,2025-12-09 17:09:04.672365
10-1265,98.387431,7.8838,12.0,Dragon Line,358.6,The bus is Dragon Line,2025-12-09 17:36:30.221024,2025-12-09 17:36:30.221024
