licence,lon,lat,spd,buffer,azm,route,timestamp
10-1148,98.295135,7.830845,20.0,Rawai,176.8,The bus is heading from Phuket Airport to Rawai,2025-11-25 16:36:07.064111
10-1149,98.295051,7.893845,0.0,Phuket Airport,36.7,The bus is heading from Rawai to Phuket Airport,2025-11-25 16:36:07.064114
10-1150,98.30641,8.107646,0.0,Phuket Airport,2.6,The bus is heading from Rawai to Phuket Airport,2025-11-25 16:36:07.064116
10-1151,98.300373,7.818436,0.0,Rawai,0.0,The bus is heading from Phuket Airport to Rawai,2025-11-25 16:36:07.064119
10-1152,98.305086,7.804166,52.0,Phuket Airport,330.7,The bus is heading from Rawai to Phuket Airport,2025-11-25 16:36:07.064121
10-1153,98.306816,8.098678,37.0,Rawai,195.9,The bus is heading from Phuket Airport to Rawai,2025-11-25 16:36:07.064123
10-1155,98.332603,8.027436,19.0,Rawai,267.7,The bus is heading from Phuket Airport to Rawai,2025-11-25 16:36:07.064126
10-1159,98.305988,8.096303,0.0,Phuket Airport,16.3,The bus is heading from Rawai to Phuket Airport,2025-11-25 16:36:07.064127
10-1196,98.333286,8.03042,10.0,Phuket Airport,2.2,The bus is heading from Rawai to Phuket Airport,2025-11-25 16:36:07.064129
10-1204,98.297478,7.906796,3.0,Rawai,153.8,The bus is heading from Phuket Airport to Rawai,2025-11-25 16:25:08.268024
10-1205,98.281903,7.965125,27.0,Rawai,117.3,The bus is heading from Phuket Airport to Rawai,2025-11-25 16:36:07.064133
10-1210,98.302671,7.989318,0.0,Phuket Airport,88.7,The bus is heading from Rawai to Phuket Airport,2025-11-25 16:36:07.064140
10-1218,98.398441,7.887953,8.0,Phuket Bus Terminal 1,161.5,The bus is heading from Patong to Phuket Bus Terminal 1,2025-11-25 16:36:07.064144
10-1219,98.407973,7.895311,34.0,Patong,294.8,The bus is heading from Phuket Bus Terminal 1 to Patong,2025-11-25 16:01:09.719645
10-1220,98.306139,7.895333,4.0,Phuket Bus Terminal 1,72.5,The bus is heading from Patong to Phuket Bus Terminal 1,2025-11-25 16:36:07.064148
10-1264,98.394871,7.886065,0.0,Dragon Line,247.2,The bus is Dragon Line,2025-11-25 16:36:07.064155
10-1265,98.387501,7.884243,0.0,Dragon Line,355.8,The bus is Dragon Line,2025-11-25 16:36:07.064156
10-1212,98.30646,8.097841,49.0,Rawai,195.6,The bus is heading from Phuket Airport to Rawai,2025-11-25 16:36:07.064142
10-1222,98.395943,7.884303,0.0,Phuket Bus Terminal 1,178.5,The bus is heading from Patong to Phuket Bus Terminal 1,2025-11-25 14:05:05.415303
10-1147,98.291978,7.888108,17.0,Phuket Airport,38.5,The bus is heading from Rawai to Phuket Airport,2025-11-25 16:36:07.064095
10-1223,98.393669,7.89045,7.0,Patong,288.6,The bus is heading from Phuket Bus Terminal 1 to Patong,2025-11-25 16:36:07.064153
