,km_interval,avg_speed,count,km_label
0,0,23.40947546531303,3546,KM 0-1
1,1,27.974321349963315,2726,KM 1-2
2,2,34.16480793060719,1614,KM 2-3
3,3,49.50051813471502,965,KM 3-4
4,4,42.97961630695443,834,KM 4-5
5,5,44.72806255430061,1151,KM 5-6
6,6,48.34469096671949,1262,KM 6-7
7,7,45.26842105263158,570,KM 7-8
8,8,56.8421052631579,95,KM 8-9
9,9,40.193929173693085,1186,KM 9-10
10,10,55.69331742243437,838,KM 10-11
11,11,44.44783715012723,786,KM 11-12
12,12,22.053777208706787,1562,KM 12-13
13,13,43.976768743400214,947,KM 13-14
14,14,25.664028776978416,1390,KM 14-15
15,15,40.045099739809196,1153,KM 15-16
16,16,40.85617021276596,1175,KM 16-17
17,17,23.39839725243274,1747,KM 17-18
18,18,19.037378640776698,2060,KM 18-19
19,19,31.44374563242488,1431,KM 19-20
20,20,31.555555555555557,1188,KM 20-21
21,21,37.8004569687738,1313,KM 21-22
22,22,34.57719162141195,1289,KM 22-23
23,23,29.21031207598372,1474,KM 23-24
24,24,35.995598591549296,1136,KM 24-25
25,25,30.981143934632307,1591,KM 25-26
26,26,26.10437051532942,1533,KM 26-27
27,27,29.175015087507543,1657,KM 27-28
28,28,28.735729386892178,1419,KM 28-29
29,29,38.1889400921659,1085,KM 29-30
30,30,30.695801789401237,1453,KM 30-31
31,31,35.42763772175537,1071,KM 31-32
32,32,21.1671322160149,2148,KM 32-33
33,33,18.424864864864865,925,KM 33-34
34,36,17.62860310421286,2706,KM 36-37
35,37,32.6817472698908,1282,KM 37-38
36,38,46.830275229357795,1090,KM 38-39
37,39,37.33679169992019,1253,KM 39-40
38,40,40.589285714285715,896,KM 40-41
39,41,28.34306049822064,1405,KM 41-42
40,42,24.886231038506416,1714,KM 42-43
41,43,32.25516102394715,1211,KM 43-44
42,44,20.589559877175027,1954,KM 44-45
43,45,20.52173913043478,1817,KM 45-46
44,46,22.385880740233038,1459,KM 46-47
45,47,37.82394366197183,852,KM 47-48
46,48,29.646506777893638,959,KM 48-49
47,49,29.758764607679467,1198,KM 49-50
48,50,39.17283950617284,81,KM 50-51
49,51,29.079844961240312,1290,KM 51-52
50,52,27.60117302052786,1023,KM 52-53
51,53,30.934343434343436,990,KM 53-54
52,54,18.17241379310345,1044,KM 54-55
