,km_interval,avg_speed,count,km_label
0,0,19.305818673883625,739,KM 0-1
1,1,18.648768988999475,3818,KM 1-2
2,2,17.452747817154595,3894,KM 2-3
3,3,15.23643581826202,4534,KM 3-4
4,4,18.09810822701276,2273,KM 4-5
5,5,19.300809138505475,4202,KM 5-6
6,6,28.994300911854104,2632,KM 6-7
7,7,25.892209536601747,2978,KM 7-8
8,8,38.43309666848717,1831,KM 8-9
9,9,35.18732525629078,2146,KM 9-10
10,10,34.122745270567535,2273,KM 10-11
11,11,48.26497533474278,1419,KM 11-12
12,12,25.275823353293415,2672,KM 12-13
13,13,17.31548872180451,3325,KM 13-14
14,14,22.266454352441613,2826,KM 14-15
15,15,25.528518518518517,2700,KM 15-16
16,16,26.013177159590043,2049,KM 16-17
17,17,24.544171332586785,1786,KM 17-18
18,18,6.403850346878097,2018,KM 18-19
19,19,26.308344370860926,302,KM 19-20
20,20,33.24854202401372,1166,KM 20-21
21,21,25.28795608108108,1184,KM 21-22
22,22,34.69492215568862,835,KM 22-23
23,23,31.419937733499378,1606,KM 23-24
24,24,33.89489754098361,1952,KM 24-25
25,25,40.461,900,KM 25-26
26,26,27.410338809034904,974,KM 26-27
