km_interval,avg_speed,count,km_label
0,18.17241379310345,3546,KM 0-1
1,30.934343434343436,2726,KM 1-2
2,27.60117302052786,1614,KM 2-3
3,29.079844961240312,965,KM 3-4
4,39.17283950617284,834,KM 4-5
5,29.758764607679467,1151,KM 5-6
6,29.64650677789364,1262,KM 6-7
7,37.82394366197183,570,KM 7-8
8,22.38588074023304,95,KM 8-9
9,20.52173913043478,1186,KM 9-10
10,20.589559877175027,838,KM 10-11
11,32.25516102394715,786,KM 11-12
12,24.886231038506416,1562,KM 12-13
13,28.34306049822064,947,KM 13-14
14,40.589285714285715,1390,KM 14-15
15,37.33679169992019,1153,KM 15-16
16,46.830275229357795,1175,KM 16-17
17,32.6817472698908,1747,KM 17-18
18,15,2060,KM 18-19
19,15,1431,KM 19-20
20,15,1188,KM 20-21
21,35.42763772175537,1313,KM 21-22
22,30.695801789401237,1289,KM 22-23
23,38.1889400921659,1474,KM 23-24
24,28.735729386892174,1136,KM 24-25
25,29.175015087507543,1591,KM 25-26
26,26.10437051532942,1533,KM 26-27
27,30.981143934632307,1657,KM 27-28
28,35.995598591549296,1419,KM 28-29
29,29.21031207598372,1085,KM 29-30
30,34.57719162141195,1453,KM 30-31
31,37.8004569687738,1071,KM 31-32
32,31.555555555555557,2148,KM 32-33
33,31.44374563242488,925,KM 33-34
34,20,0,KM 34-35
35,20,0,KM 35-36
36,19.037378640776694,2706,KM 36-37
37,23.39839725243274,1282,KM 37-38
38,40.85617021276596,1090,KM 38-39
39,40.0450997398092,1253,KM 39-40
40,25.664028776978416,896,KM 40-41
41,43.976768743400214,1405,KM 41-42
42,22.053777208706787,1714,KM 42-43
43,44.44783715012723,1211,KM 43-44
44,55.69331742243437,1954,KM 44-45
45,40.193929173693085,1817,KM 45-46
46,56.8421052631579,1459,KM 46-47
47,45.26842105263158,852,KM 47-48
48,48.34469096671949,959,KM 48-49
49,44.72806255430061,1198,KM 49-50
50,42.97961630695443,81,KM 50-51
51,49.50051813471502,1290,KM 51-52
52,34.16480793060719,1023,KM 52-53
53,27.974321349963315,990,KM 53-54
54,23.40947546531303,1044,KM 54-55
