licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1222,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,2025-12-08T15:18:25.504420,,52,2025-12-08T16:10:25.504420,,37.0,2025-12-08T16:10:33.321010,,20.0,2025-12-08T16:08:41.274550,,5.0,2025-12-08T16:08:48.882503,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,98,Phuket Bus Terminal 1,3774,2025-12-08T15:18:25.504507,,59,2025-12-08T16:17:25.504507,,38.0,2025-12-08T16:11:33.794060,,21.0,2025-12-08T16:09:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,99,Sanamchai (To Bus 2),4052,2025-12-08T15:18:25.504507,,95,2025-12-08T16:53:25.504507,,74.0,2025-12-08T16:47:33.794060,,57.0,2025-12-08T16:45:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,100,Phuket Provincial Cooperative Office,4180,2025-12-08T15:18:25.504507,,96,2025-12-08T16:54:25.504507,,76.0,2025-12-08T16:49:33.794060,,58.0,2025-12-08T16:46:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,101,Baan Natkamon,4358,2025-12-08T15:18:25.504507,,99,2025-12-08T16:57:25.504507,,79.0,2025-12-08T16:52:33.794060,,61.0,2025-12-08T16:49:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,102,Big C Mini Kingkaew,4507,2025-12-08T15:18:25.504507,,101,2025-12-08T16:59:25.504507,,81.0,2025-12-08T16:54:33.794060,,63.0,2025-12-08T16:51:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,103,Soi Thachin,4616,2025-12-08T15:18:25.504507,,103,2025-12-08T17:01:25.504507,,82.0,2025-12-08T16:55:33.794060,,65.0,2025-12-08T16:53:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,104,Dcondo Campus Kuku,4776,2025-12-08T15:18:25.504507,,105,2025-12-08T17:03:25.504507,,84.0,2025-12-08T16:57:33.794060,,67.0,2025-12-08T16:55:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,105,Ban Kuku School,4859,2025-12-08T15:18:25.504507,,106,2025-12-08T17:04:25.504507,,85.0,2025-12-08T16:58:33.794060,,68.0,2025-12-08T16:56:41.794155,,,,,,,,,,,,,,,,,,,
10-1220,Patong -> Bus 1 -> Bus 2,106,Big C Market Thepkrasattri,5122,2025-12-08T15:18:25.504507,,109,2025-12-08T17:07:25.504507,,88.0,2025-12-08T17:01:33.794060,,71.0,2025-12-08T16:59:41.794155,,,,,,,,,,,,,,,,,,,
