prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1762181021_10-1152_Indigo_Patong,Airport -> Rawai,Indigo Patong,10-1152,16,13.09,-2.91,81.81,2025-11-03T21:43:41.774482,2025-11-03T21:56:47.122178
1762181323_10-1152_Indigo_Patong,Airport -> Rawai,Indigo Patong,10-1152,10,8.06,-1.94,80.58,2025-11-03T21:48:43.646211,2025-11-03T21:56:47.153732
1762180719_10-1210_Lotus_Cherngtalay,Airport -> Rawai,Lotus Cherngtalay,10-1210,28,34.22,6.22,77.78,2025-11-03T21:38:39.842540,2025-11-03T22:12:53.093731
1762182531_10-1210_Intercontinental_Kamala,Airport -> Rawai,Intercontinental Kamala,10-1210,14,14.1,0.1,99.28,2025-11-03T22:08:51.468963,2025-11-03T22:22:57.510139
1762182229_10-1205_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1205,20,29.21,9.21,53.97,2025-11-03T22:03:49.523049,2025-11-03T22:33:01.904944
1762184042_10-1152_OZO_Phuket,Airport -> Rawai,OZO Phuket,10-1152,2,5.04,3.04,-52.19,2025-11-03T22:34:02.307980,2025-11-03T22:39:04.935825
1762183740_10-1210_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1210,12,12.09,0.09,99.21,2025-11-03T22:29:00.076950,2025-11-03T22:41:05.753330
1762184344_10-1210_OZO_Phuket,Airport -> Rawai,OZO Phuket,10-1210,26,43.38,17.38,33.16,2025-11-03T22:39:04.578311,2025-11-03T23:22:27.306998
1762185856_10-1210_OZO_Phuket,Airport -> Rawai,OZO Phuket,10-1210,12,18.18,6.18,48.52,2025-11-03T23:04:16.753972,2025-11-03T23:22:27.412220
1762184646_10-1210_Kata_Palm,Airport -> Rawai,Kata Palm,10-1210,23,39.35,16.35,28.92,2025-11-03T22:44:06.890665,2025-11-03T23:23:27.852233
1762186765_10-1210_Beyond_hotel_Kata,Airport -> Rawai,Beyond hotel Kata,10-1210,3,5.06,2.06,31.42,2025-11-03T23:19:25.270111,2025-11-03T23:24:28.717014
1762186159_10-1149_Intercontinental_Kamala,Airport -> Rawai,Intercontinental Kamala,10-1149,15,18.17,3.17,78.83,2025-11-03T23:09:19.433454,2025-11-03T23:27:29.918806
1762185554_10-1207_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1207,20,37.33,17.33,13.34,2025-11-03T22:59:14.111895,2025-11-03T23:36:34.052310
1762187975_10-1207_Kata_Palm,Airport -> Rawai,Kata Palm,10-1207,3,4.03,1.03,65.52,2025-11-03T23:39:35.191690,2025-11-03T23:43:37.262625
1762188277_10-1159_Cherngtalay_School,Airport -> Rawai,Cherngtalay School,10-1159,18,16.2,-1.8,89.99,2025-11-03T23:44:37.581464,2025-11-04T00:00:49.425866
1762187672_10-1159_Surin_Beach,Airport -> Rawai,Surin Beach,10-1159,35,32.33,-2.67,92.36,2025-11-03T23:34:32.827345,2025-11-04T00:06:52.371418
1762188579_10-1159_Surin_Beach,Airport -> Rawai,Surin Beach,10-1159,22,17.21,-4.79,78.22,2025-11-03T23:49:39.861213,2025-11-04T00:06:52.391627
1762189491_10-1149_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1149,2,4.04,2.04,-1.85,2025-11-04T00:04:51.123928,2025-11-04T00:08:53.348767
1762191002_10-1159_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1159,9,13.12,4.12,54.21,2025-11-04T00:30:02.678790,2025-11-04T00:43:09.938525
1762223700_10-1210_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1210,55,52.35,-2.65,95.18,2025-11-04T09:35:00.187887,2025-11-04T10:27:21.178769
1762225511_10-1149_Laguna,Airport -> Rawai,Laguna,10-1149,24,38.3,14.3,40.43,2025-11-04T10:05:11.419770,2025-11-04T10:43:29.190350
1762226417_10-1149_Cherngtalay_School,Airport -> Rawai,Cherngtalay School,10-1149,12,23.19,11.19,6.74,2025-11-04T10:20:17.817799,2025-11-04T10:43:29.254098
