prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1763529649_10-1149_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1149,16,22.44,6.44,59.76,2025-11-19T12:20:49.876426,2025-11-19T12:43:16.214641
1763529833_10-1218_Siko,Patong -> Bus 1 -> Bus 2,Siko,10-1218,18,23.46,5.46,69.68,2025-11-19T12:23:53.478014,2025-11-19T12:47:20.979543
1763531669_10-1207_Peach_Blossom,Rawai -> Airport,Peach Blossom,10-1207,3,5.62,2.62,12.81,2025-11-19T12:54:29.528332,2025-11-19T13:00:06.471540
1763531118_10-1149_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1149,21,27.0,6.0,71.43,2025-11-19T12:45:18.319663,2025-11-19T13:12:18.329987
1763530383_10-1218_Sanamchai,Patong -> Bus 1 -> Bus 2,Sanamchai,10-1218,31,42.29,11.29,63.59,2025-11-19T12:33:03.977400,2025-11-19T13:15:21.263132
1763530567_10-1218_Phuket_Bus_Terminal_1,Patong -> Bus 1 -> Bus 2,Phuket Bus Terminal 1,10-1218,39,40.76,1.76,95.5,2025-11-19T12:36:07.552678,2025-11-19T13:16:52.913810
1763530934_10-1219_Phuket_Wittayalai_School,Bus 2 -> Bus 1 -> Patong,Phuket Wittayalai School,10-1219,11,41.75,30.75,-179.56,2025-11-19T12:42:14.724142,2025-11-19T13:23:59.799625
1763532768_10-1219_Phuket_Wittayalai_School,Bus 2 -> Bus 1 -> Patong,Phuket Wittayalai School,10-1219,1,11.19,10.19,-918.71,2025-11-19T13:12:48.661923,2025-11-19T13:23:59.887876
1763531853_10-1153_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1153,18,27.46,9.46,47.45,2025-11-19T12:57:33.376983,2025-11-19T13:25:00.945129
1763531485_10-1219_Lotus_Samkong,Bus 2 -> Bus 1 -> Patong,Lotus Samkong,10-1219,20,46.8,26.8,-34.0,2025-11-19T12:51:25.847248,2025-11-19T13:38:13.897693
1763532585_10-1222_Andamanda_Phuket_Waterpark,Patong -> Bus 1 -> Bus 2,Andamanda Phuket Waterpark,10-1222,28,30.51,2.51,91.05,2025-11-19T13:09:45.606204,2025-11-19T13:40:15.994373
1763533317_10-1222_Lotus_Samkong,Patong -> Bus 1 -> Bus 2,Lotus Samkong,10-1222,15,19.32,4.32,71.19,2025-11-19T13:21:57.636382,2025-11-19T13:41:16.913587
1763534415_10-1223_Satree_Phuket_School,Bus 2 -> Bus 1 -> Patong,Satree Phuket School,10-1223,0,1.02,1.02,0.0,2025-11-19T13:40:15.641144,2025-11-19T13:41:17.004369
1763533683_10-1222_Chillva_Market,Patong -> Bus 1 -> Bus 2,Chillva Market,10-1222,9,14.24,5.24,41.77,2025-11-19T13:28:03.357869,2025-11-19T13:42:17.786389
1763533866_10-1222_Bangkok_Hospital_Phuket,Patong -> Bus 1 -> Bus 2,Bangkok Hospital Phuket,10-1222,11,15.77,4.77,56.66,2025-11-19T13:31:06.400692,2025-11-19T13:46:52.414053
1763532036_10-1219_Kathu_Police_Station,Bus 2 -> Bus 1 -> Patong,Kathu Police Station,10-1219,29,49.81,20.81,28.24,2025-11-19T13:00:36.771662,2025-11-19T13:50:25.375006
1763532951_10-1219_Kathu_Police_Station,Bus 2 -> Bus 1 -> Patong,Kathu Police Station,10-1219,19,34.56,15.56,18.09,2025-11-19T13:15:51.660319,2025-11-19T13:50:25.399120
1763534781_10-1265_Phuket_Thaihua_Museum,Dragon Line,Phuket Thaihua Museum,10-1265,6,6.6,0.6,90.02,2025-11-19T13:46:21.613770,2025-11-19T13:52:57.542167
1763535146_10-1222_Sanamchai,Patong -> Bus 1 -> Bus 2,Sanamchai,10-1222,3,4.57,1.57,47.6,2025-11-19T13:52:26.841082,2025-11-19T13:57:01.160469
1763534964_10-1265_Mongkhonnimit_Temple,Dragon Line,Mongkhonnimit Temple,10-1265,5,10.66,5.66,-13.16,2025-11-19T13:49:24.251541,2025-11-19T14:00:03.717529
1763536060_10-1264_Sanamchai,Bus 2 -> Bus 1 -> Patong,Sanamchai,10-1264,11,9.64,-1.36,87.66,2025-11-19T14:07:40.512075,2025-11-19T14:17:19.077368
1763536608_10-1265_Municipal_Parking,Dragon Line,Municipal Parking,10-1265,7,8.13,1.13,83.84,2025-11-19T14:16:48.346060,2025-11-19T14:24:56.206242
1763536243_10-1264_Phuket_Bus_Terminal_1,Bus 2 -> Bus 1 -> Patong,Phuket Bus Terminal 1,10-1264,13,23.36,10.36,20.3,2025-11-19T14:10:43.290239,2025-11-19T14:34:04.923092
1763537522_10-1221_Kathu_Police_Station,Bus 2 -> Bus 1 -> Patong,Kathu Police Station,10-1221,3,5.09,2.09,30.37,2025-11-19T14:32:02.623449,2025-11-19T14:37:07.965139
1763538071_10-1264_Dcondo_Campus_Kuku,Patong -> Bus 1 -> Bus 2,Dcondo Campus Kuku,10-1264,3,3.06,0.06,98.07,2025-11-19T14:41:11.848366,2025-11-19T14:44:15.327473
1763535512_10-1152_Kalim_School,Airport -> Rawai,Kalim School,10-1152,35,47.75,12.75,63.58,2025-11-19T13:58:32.305695,2025-11-19T14:46:17.157195
