licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1149,Rawai -> Airport,32,Big C Kamala,5519,2025-11-27T17:10:05.721069,2025-11-27T17:03:57.069917,6.14,,,,,,,,,,,,,,,,
10-1149,Rawai -> Airport,33,Phuket Fantasea,5751,2025-11-27T17:12:06.978022,2025-11-27T17:05:57.069917,6.17,2025-11-27T17:11:06.299276,1.01,,,,,,,,,,,,,,
10-1149,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,2025-11-27T17:13:38.012916,2025-11-27T17:06:57.069917,6.68,2025-11-27T17:12:06.299276,1.53,,,,,,,,,,,,,,
10-1149,Rawai -> Airport,35,Cafe De Mar,5945,2025-11-27T17:13:38.012916,2025-11-27T17:07:57.069917,5.68,2025-11-27T17:13:06.299276,0.53,,,,,,,,,,,,,,
10-1149,Rawai -> Airport,36,Surin Beach,6442,2025-11-27T17:18:10.575443,2025-11-27T17:11:57.069917,6.23,2025-11-27T17:17:06.299276,1.07,,,,,,,,,,,,,,
10-1149,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-11-27T17:29:17.217110,2025-11-27T17:19:57.069917,9.34,2025-11-27T17:25:06.299276,4.18,2025-11-27T17:26:15.311881,3.03,,,,,,,,,,,,
10-1149,Rawai -> Airport,38,Laguna,7313,2025-11-27T17:43:25.532139,2025-11-27T17:24:57.069917,18.47,2025-11-27T17:30:06.299276,13.32,2025-11-27T17:31:15.311881,12.17,,,,,,,,,,,,
10-1149,Rawai -> Airport,39,Cherngtalay School,7346,2025-11-27T17:43:25.532139,2025-11-27T17:25:57.069917,17.47,2025-11-27T17:31:06.299276,12.32,2025-11-27T17:32:15.311881,11.17,,,,,,,,,,,,
10-1149,Rawai -> Airport,40,Baan Khian,8300,,2025-11-27T17:34:57.069917,,2025-11-27T17:40:06.299276,,2025-11-27T17:41:15.311881,,,,,,,,,,,,,
10-1149,Rawai -> Airport,41,Thalang Public Health Office,8532,,2025-11-27T17:37:57.069917,,2025-11-27T17:43:06.299276,,2025-11-27T17:44:15.311881,,,,,,,,,,,,,
10-1148,Airport -> Rawai,44,Baan Khian,2586,2025-11-27T17:06:03.731173,2025-11-27T16:57:57.069827,8.11,,,,,,,,,,,,,,,,
10-1148,Airport -> Rawai,45,Cherngtalay School,3541,2025-11-27T17:17:40.610530,2025-11-27T17:06:57.069827,10.73,2025-11-27T17:17:06.563398,0.57,,,,,,,,,,,,,,
10-1148,Airport -> Rawai,46,Laguna,3576,2025-11-27T17:17:40.610530,2025-11-27T17:06:57.069827,10.73,2025-11-27T17:17:06.563398,0.57,,,,,,,,,,,,,,
10-1148,Airport -> Rawai,47,Lotus Cherngtalay,3837,,2025-11-27T17:10:57.069827,,2025-11-27T17:21:06.563398,,,,,,,,,,,,,,,
10-1148,Airport -> Rawai,48,Surin Beach,4456,2025-11-27T17:33:19.766775,2025-11-27T17:15:57.069827,17.38,2025-11-27T17:27:06.563398,6.22,,,,,,,,,,,,,,
10-1148,Airport -> Rawai,49,Intercontinental Kamala,4912,2025-11-27T17:37:22.340820,2025-11-27T17:20:57.069827,16.42,2025-11-27T17:31:06.563398,6.26,,,,,,,,,,,,,,
