licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1219,Bus 2 -> Bus 1 -> Patong,112,Big C Mini Kingkaew,789,2025-12-01T17:50:58.601079,2025-12-01T10:15:17.691285,455.68,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,113,Baan Natkamon,939,2025-12-01T17:51:59.649198,2025-12-01T10:16:17.691285,455.7,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,114,Phuket Provincial Cooperative Office,1116,2025-12-01T17:55:02.332303,2025-12-01T10:18:17.691285,456.74,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,115,Sanamchai,1246,2025-12-01T17:55:32.783933,2025-12-01T10:19:17.691285,456.25,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,68,Phuket Bus Terminal 1,1587,2025-12-01T17:55:32.783933,2025-12-01T10:26:17.691285,449.25,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,69,Sanamchai,1886,2025-12-01T12:33:46.010233,2025-12-01T10:34:17.691285,119.47,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,70,Satree Phuket School,2019,,2025-12-01T10:36:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,71,Phuket Wittayalai School,2111,,2025-12-01T10:37:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,72,Vachira Phuket Hospital,2334,,2025-12-01T10:41:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,73,Bangkok Hospital Phuket,2559,,2025-12-01T10:44:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,74,Chillva Market,2715,,2025-12-01T10:46:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,75,Lotus Samkong,2809,,2025-12-01T10:47:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,76,Andamanda Phuket Waterpark,2935,,2025-12-01T10:48:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,77,Kathu Fresh Market,3266,,2025-12-01T10:51:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,78,PTT Station Kathu,3459,,2025-12-01T10:53:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,79,Siko,3649,,2025-12-01T10:55:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,80,Kathu Police Station,3736,,2025-12-01T10:56:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,,2025-12-01T11:13:17.691285,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,,2025-12-01T11:17:17.691285,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,26,Secret cliff resort ,2997,2025-12-01T17:45:03.373573,2025-12-01T10:20:17.691004,444.76,2025-12-01T17:40:48.518679,4.25,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,27,Patong Bus Stop,3674,2025-12-01T17:52:40.948350,2025-12-01T10:26:17.691004,446.39,2025-12-01T17:46:48.518679,5.87,2025-12-01T17:50:03.373573,2.63,,,,,,,,,,,,
