licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1221,Bus 2 -> Bus 1 -> Patong,80,Kathu Police Station,3736,2025-12-02T11:33:13.412145,2025-12-02T11:37:18.103807,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,2025-12-02T11:33:13.412145,2025-12-02T12:03:20.113172,18.0,2025-12-02T11:51:13.412145,12.11,11.0,2025-12-02T11:59:32.066895,3.8,,,,,,,,,,,,,,,,,,,,,
10-1221,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,2025-12-02T11:33:13.412145,,22.0,2025-12-02T11:55:13.412145,,15.0,2025-12-02T12:03:32.066895,,3.0,2025-12-02T12:06:20.113172,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,59,Secret cliff resort ,7899,2025-12-02T11:33:13.411769,2025-12-02T11:37:17.752061,2.0,2025-12-02T11:35:13.411769,2.07,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,60,Karon Circle,8431,2025-12-02T11:33:13.411769,2025-12-02T11:41:21.722901,7.0,2025-12-02T11:40:13.411769,1.14,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,61,Woraburi Karon,8523,2025-12-02T11:33:13.411769,2025-12-02T11:41:21.722901,8.0,2025-12-02T11:41:13.411769,0.14,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,62,Karon Stadium,8823,2025-12-02T11:33:13.411769,2025-12-02T11:45:28.470743,11.0,2025-12-02T11:44:13.411769,1.25,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,63,OZO Phuket,8979,2025-12-02T11:33:13.411769,2025-12-02T11:47:30.930496,14.0,2025-12-02T11:47:13.411769,0.29,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,64,Kata Palm,9111,2025-12-02T11:33:13.411769,2025-12-02T11:49:35.119716,16.0,2025-12-02T11:49:13.411769,0.36,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,65,Beyond hotel Kata,9157,2025-12-02T11:33:13.411769,2025-12-02T11:50:36.781297,16.0,2025-12-02T11:49:13.411769,1.39,1.0,2025-12-02T11:49:32.466117,1.07,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,66,Andaman Cannacia Resort,9327,2025-12-02T11:33:13.411769,2025-12-02T11:58:16.380113,19.0,2025-12-02T11:52:13.411769,6.05,3.0,2025-12-02T11:51:32.466117,6.73,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,67,Sai Yuan,10247,2025-12-02T11:33:13.411769,2025-12-02T12:03:20.647997,27.0,2025-12-02T12:00:13.411769,3.12,11.0,2025-12-02T11:59:32.466117,3.8,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,28,Bangla Patong ,3858,2025-12-02T11:33:13.411994,2025-12-02T11:34:15.092276,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,29,Four Point Patong,4204,2025-12-02T11:33:13.411994,2025-12-02T11:37:17.832638,7.0,2025-12-02T11:40:13.411994,-2.93,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,30,Kalim School,4320,2025-12-02T11:33:13.411994,2025-12-02T11:39:19.516354,8.0,2025-12-02T11:41:13.411994,-1.9,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,31,Kalim Bus Stop,4437,2025-12-02T11:33:13.411994,2025-12-02T11:40:20.514275,9.0,2025-12-02T11:42:13.411994,-1.88,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,32,Big C Kamala,5519,2025-12-02T11:33:13.411994,2025-12-02T11:49:34.115729,19.0,2025-12-02T11:52:13.411994,-2.65,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,33,Phuket Fantasea,5751,2025-12-02T11:33:13.411994,2025-12-02T11:53:39.519447,21.0,2025-12-02T11:54:13.411994,-0.56,2.0,2025-12-02T11:50:31.346722,3.14,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,2025-12-02T11:33:13.411994,2025-12-02T11:54:40.942337,22.0,2025-12-02T11:55:13.411994,-0.54,3.0,2025-12-02T11:51:31.346722,3.16,,,,,,,,,,,,,,,,,,,,,
