licence,route,start_index,stop_index,stop_no,stop_name_eng,stop_name_th,eta_0min,predicted_arrival_time_0min,actual_arrival_time,time_difference_min,eta_15min
10-1265,Dragon Line,587,0,1,PKCD Parking,ลานจอดรถ,0,2025-11-19 14:56:18.883846,,,0.0
10-1265,Dragon Line,587,56,2,Queen Sirikit Park,สวนสิริกิติ์,0,2025-11-19 14:56:18.883846,,,1.0
10-1265,Dragon Line,587,134,3,Old Town Intersection,แยกเมืองเก่า,0,2025-11-19 14:56:18.883846,,,2.0
10-1265,Dragon Line,587,159,4,Government Savings Bank,ธนาคารออมสิน,0,2025-11-19 14:56:18.883846,,,3.0
10-1265,Dragon Line,587,243,5,Royal Phuket City Hotel,โรงแรม รอยัล ภูเก็ต ซิตี้,0,2025-11-19 14:56:18.883846,,,4.0
10-1265,Dragon Line,587,333,6,Pearl Hotel Phuket,โรงแรมเพิร์ล ภูเก็ต,0,2025-11-19 14:56:18.883846,,,6.0
10-1265,Dragon Line,587,435,7,Mc Donald's,แม็คโดนัล,3,2025-11-19 14:56:18.883846,,,8.0
10-1265,Dragon Line,587,523,8,Surin Circle Clock Tower,วงเวียนสุรินทร์,1,2025-11-19 14:56:18.883846,,,10.0
10-1265,Dragon Line,587,593,9,Municipal Parking,จุดจอดรถเทศบาล,0,2025-11-19 14:56:18.883846,2025-11-19 14:57:19.511660,1.0104635666666666,11.0
10-1265,Dragon Line,587,647,10,Krungsri Bank,ธนาคารกรุุงศรี,1,2025-11-19 14:56:18.883846,2025-11-19 14:57:19.511660,1.0104635666666666,12.0
10-1265,Dragon Line,587,692,11,WANLAMUN & EGG E EGG @ OLD TOWN,ร้านหวานละมุน&ร้านเอ้ก อี เอ้ก สาขาเมืองเก่า,2,2025-11-19 14:56:18.883846,2025-11-19 14:59:20.512364,3.027141966666667,13.0
10-1265,Dragon Line,587,760,12,Phuket Thaihua Museum,พิพิธภัณฑ์ไทยหัว,3,2025-11-19 14:56:18.883846,2025-11-19 15:01:21.516096,5.043870833333333,15.0
10-1265,Dragon Line,587,830,13,Dibuk Road,ถนนดีบุก,4,2025-11-19 14:56:18.883846,2025-11-19 15:03:22.351923,7.057801283333333,16.0
10-1265,Dragon Line,587,886,14,Mongkhonnimit Temple,วัดมงคลนิมิตร,5,2025-11-19 14:56:18.883846,2025-11-19 15:07:24.158082,11.087903933333331,17.0
