licence,route,start_index,target_index,eta_0min,predicted_arrival_time_0min,actual_arrival_time,time_difference_min,eta_15min
10-1265,Dragon Line,587,600,0,2025-11-19 14:56:18.883846,2025-11-19 14:57:19.511660,1.0104635666666666,11.0
10-1265,Dragon Line,587,800,4,2025-11-19 14:56:18.883846,2025-11-19 15:02:21.952663,6.051146950000001,15.0
10-1265,Dragon Line,587,1000,8,2025-11-19 14:56:18.883846,,,19.0
10-1265,Dragon Line,587,1011,8,2025-11-19 14:56:18.883846,,,20.0
10-1205,Airport -> Rawai,10815,10889,1,2025-11-19 14:56:19.028410,,,16.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,5200,2,2025-11-19 14:56:18.978132,2025-11-19 14:59:20.953136,3.0329167333333333,4.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,5296,3,2025-11-19 14:56:18.978132,2025-11-19 15:00:21.445107,4.04111625,5.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,2600,2,2025-11-19 14:56:19.050893,2025-11-19 15:03:22.975776,7.065414716666667,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,2800,5,2025-11-19 14:56:19.050893,2025-11-19 15:08:25.884074,12.11388635,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3000,8,2025-11-19 14:56:19.050893,2025-11-19 15:10:57.268621,14.636962133333332,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3200,10,2025-11-19 14:56:19.050893,,,1.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3400,13,2025-11-19 14:56:19.050893,,,4.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3600,15,2025-11-19 14:56:19.050893,,,6.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,3800,24,2025-11-19 14:56:19.050893,,,15.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4000,27,2025-11-19 14:56:19.050893,,,18.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4200,28,2025-11-19 14:56:19.050893,,,20.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4400,31,2025-11-19 14:56:19.050893,,,22.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4600,33,2025-11-19 14:56:19.050893,,,24.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,4800,34,2025-11-19 14:56:19.050893,,,26.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,5000,36,2025-11-19 14:56:19.050893,,,27.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,5200,38,2025-11-19 14:56:19.050893,,,29.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,5301,39,2025-11-19 14:56:19.050893,,,30.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,400,2,2025-11-19 14:56:18.978132,,,4.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,600,4,2025-11-19 14:56:18.978132,,,7.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,800,6,2025-11-19 14:56:18.978132,,,8.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1000,8,2025-11-19 14:56:18.978132,,,10.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1200,10,2025-11-19 14:56:18.978132,,,12.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1400,12,2025-11-19 14:56:18.978132,,,15.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1600,17,2025-11-19 14:56:18.978132,,,19.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1800,24,2025-11-19 14:56:18.978132,,,26.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2000,26,2025-11-19 14:56:18.978132,,,29.0
